阿拉伯语 a1'la1'bo2'yu3
插一杠子 cha1'yi1'gang4'zi
差强人意 cha1'qiang2'ren2'yi4
茶余饭后 cha2'yu2'fan4'hou4
察言观色 cha2'yan2'guan1'se4
察颜观色 cha2'yan2'guan1'se4
姹紫嫣红 cha4'zi3'yan1'hong2
柴米油盐 chai2'mi3'you2'yan2
馋涎欲滴 chan2'xian2'yu4'di1
缠绵悱恻 chan2'mian2'fei3'ce4
长此以往 chang2'ci3'yi3'wang3
长话短说 chang2'hua4'duan3'shuo1
长命百岁 chang2'ming4'bai3'sui4
长年累月 chang2'nian2'lei3'yue4
长驱直入 chang2'qu1'zhi2'ru4
长线产品 chang2'xian4'chan3'pin3
长袖善舞 chang2'xiu4'shan4'wu3
长吁短叹 chang2'xu1'duan3'tan4
长治久安 chang2'zhi4'jiu3'an1
常备不懈 chang2'bei4'bu4'xie4
畅所欲言 chang4'suo3'yu4'yan2
唱独角戏 chang4'du2'jiao3'xi4
唱对台戏 chang4'dui4'tai2'xi4
唱空城计 chang4'kong1'cheng2'ji4
超凡脱俗 chao1'fan2'tuo1'su2
超凡人圣 chao1'fan2'ren2'sheng4
超然物外 chao1'ran2'wu4'wai4
吵吵嚷嚷 chao1'chao'rang1'rang
炒买炒卖 chao3'mai3'chao3'mai4
车轱辘话 che1'gu1'lu'hua4
车水马龙 che1'shui3'ma3'long2
车载斗量 che1'zai4'dou3'liang2
彻头彻尾 che4'tou2'che4'wei3
沉鱼落雁 chen2'yu2'luo4'yan4
陈规陋习 chen2'gui1'lou4'xi2
陈陈相因 chen2'chen2'xiang1'yin1
陈词滥调 chen2'ci2'lan4'diao4
称心如意 chen4'xin1'ru2'yi4
趁火打劫 chen4'huo3'da3'jie2
趁热打铁 chen4're4'da3'tie3
称孤道寡 cheng1'gu1'dao4'gua3
称兄道弟 cheng1'xiong1'dao4'di4
撑竿跳高 cheng1'gan1'tiao4'gao1
瞠目结舌 cheng1'mu4'jie2'she2
成家立业 cheng2'jia1'li4'ye4
成龙配套 cheng2'long2'pei4'tao4
成年累月 cheng2'nian2'lei3'yue4
成千上万 cheng2'qian1'shang4'wan4
成群结队 cheng2'qun2'jie2'dui4
成人之美 cheng2'ren2'zhi1'mei3
成竹在胸 cheng2'zhu2'zai4'xiong1
承前启后 cheng2'qian2'qi3'hou4
承上启下 cheng2'shang4'qi3'xia4
承先启后 cheng2'xian1'qi3'hou4
诚惶诚恐 cheng2'huang2'cheng2'kong3
城市贫民 cheng2'shi4'pin2'min2
城下之盟 cheng2'xia4'zhi1'meng2
乘风破浪 cheng2'feng1'po4'lang4
乘龙快婿 cheng2'long2'kuai4'xu4
乘人之危 cheng2'ren2'zhi1'wei1
乘虚而入 cheng2'xu1'er2'ru4
惩前毖后 cheng2'qian2'bi4'hou4
惩一儆百 cheng2'yi1'jing3'bai3
程序控制 cheng2'xu4'kong4'zhi4
吃苦耐劳 chi1'ku3'nai4'lao2
吃闭门羹 chi1'bi4'men2'geng1
吃吃喝喝 chi1'chi1'he1'he1
吃大锅饭 chi1'da4'guo1'fan4
吃开口饭 chi1'kai1'kou3'fan4
吃里爬外 chi1'li3'pa2'wai4
吃拿卡要 chi1'na2'ka3'yao4
吃商品粮 chi1'shang1'pin3'liang2
吃现成饭 chi1'xian4'cheng2'fan4
吃哑巴亏 chi1'ya3'ba'kui1
吃眼前亏 chi1'yan3'qian2'kui1
吃罪不起 chi1'zui4'bu4'qi3
嗤之以鼻 chi1'zhi1'yi3'bi2
痴人说梦 chi1'ren2'shuo1'meng4
痴心妄想 chi1'xin1'wang4'xiang3
魑魅魍魉 chi1'mei4'wang3'liang3
池鱼之殃 chi2'yu2'zhi1'yang1
驰名中外 chi2'ming2'zhong1'wai4
持之以恒 chi2'zhi1'yi3'heng2
持之有故 chi2'zhi1'you3'gu4
叱咤风云 chi4'zha4'feng1'yun2
赤地千里 chi4'di4'qian1'li3
赤膊上阵 chi4'bo2'shang4'zhen4
赤脚医生 chi4'jiao3'yi1'sheng1
赤胆忠心 chi4'dan3'zhong1'xin1
赤日炎炎 chi4'ri4'yan2'yan2
赤身裸体 chi4'shen1'luo3'ti3
赤手空拳 chi4'shou3'kong1'quan2
充耳不闻 chong1'er3'bu4'wen2
冲锋陷阵 chong1'feng1'xian4'zhen4
崇山峻岭 chong2'shan1'jun4'ling3
崇洋媚外 chong2'yang2'mei4'wai4
重蹈覆辙 chong2'dao3'fu4'zhe2
重见天日 chong2'jian4'tian1'ri4
重峦叠嶂 chong2'luan2'die2'zhang4
重起炉灶 chong2'qi3'lu2'zao4
重温旧梦 chong2'wen1'jiu4'meng4
重修旧好 chong2'xiu1'jiu4'hao3
重振旗鼓 chong2'zhen4'qi2'gu3
重整旗鼓 chong2'zheng3'qi2'gu3
宠辱不惊 chong3'ru3'bu4'jing1
抽肥补瘦 chou1'fei2'bu3'shou4
抽水马桶 chou1'shui3'ma3'tong3
抽油烟机 chou1'you2'yan1'ji1
愁眉苦脸 chou2'mei2'ku3'lian3
愁云惨雾 chou2'yun2'can3'wu4
踌躇不前 chou2'chu2'bu4'qian2
踌躇满志 chou2'chu2'man3'zhi4
